Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered
548,17,28,503,0,0,0
4,0,1,3,0,0,0
8,0,2,6,0,0,0
7,0,1,6,3,0,0
7,0,1,6,0,0,0
14,0,5,9,0,0,0
11,0,1,10,4,0,0
14,0,5,9,0,0,0
9,0,2,7,0,0,0
15,0,1,14,4,0,0
19,0,5,14,5,0,0
12,0,2,10,3,0,0
20,0,1,19,5,0,0
19,0,5,14,0,0,0
12,0,2,10,0,0,0
20,0,1,19,0,0,0
2,1,0,1,1,1,0
19,0,5,14,0,0,0
6,0,1,5,0,0,0
12,0,2,10,0,0,0
20,0,1,19,0,0,0
2,1,0,1,0,0,0
19,0,5,14,0,0,0
8,0,1,7,2,0,0
13,0,2,11,1,0,0
22,0,1,21,2,0,0
2,1,0,1,0,0,0
25,0,5,20,6,0,0
8,0,1,7,0,0,0
13,0,2,11,0,0,0
23,0,1,22,1,0,0
2,1,0,1,0,0,0
25,0,5,20,0,0,0
8,0,1,7,0,0,0
14,0,2,12,1,0,0
23,0,1,22,0,0,0
2,1,0,1,0,0,0
25,0,5,20,0,0,0
10,0,1,9,2,0,0
15,0,2,13,1,0,0
23,0,1,22,0,0,0
3,1,0,2,1,0,0
16,0,1,15,0,0,0
25,0,5,20,0,0,0
10,0,1,9,0,0,0
15,0,2,13,0,0,0
24,0,1,23,1,0,0
16,0,1,15,4,0,0
3,1,0,2,0,0,0
24,0,1,23,0,0,0
17,0,1,16,1,0,0
13,0,1,12,3,0,0
15,0,2,13,0,0,0
24,0,1,23,0,0,0
16,0,1,15,0,0,0
3,1,0,2,0,0,0
40,0,2,38,7,0,0
18,0,1,17,1,0,0
32,0,10,22,0,0,0
13,0,1,12,0,0,0
15,0,2,13,0,0,0
18,0,1,17,2,0,0
3,1,0,2,0,0,0
45,0,2,43,5,0,0
27,0,3,24,2,0,0
18,0,1,17,0,0,0
32,0,10,22,0,0,0
11,0,3,8,0,0,0
14,0,1,13,1,0,0
15,0,2,13,0,0,0
3,1,0,2,0,0,0
28,0,3,25,1,0,0
18,0,1,17,0,0,0
33,0,10,23,1,0,0
12,0,3,9,1,0,0
15,0,2,13,0,0,0
28,0,9,19,1,0,0
18,0,3,15,0,0,0
18,0,1,17,0,0,0
33,0,10,23,0,0,0
12,0,3,9,0,0,0
15,0,6,9,0,0,0
11,0,2,9,0,0,0
33,1,9,23,5,1,0
19,0,3,16,1,0,0
